TW,Taiwan,,,,,06/05/20,-14,4,-7,-17,9,2
TW,Taiwan,,,,,07/05/20,-10,3,-13,-18,7,-1
TW,Taiwan,,,,,08/05/20,-5,9,-3,-9,4,2
TW,Taiwan,,,,,09/05/20,-5,9,-4,-20,2,2
TW,Taiwan,,,,,10/05/20,-5,6,-1,-19,-8,1
TW,Taiwan,,,,,11/05/20,-10,9,-10,-17,5,3
TW,Taiwan,,,,,12/05/20,-15,3,-14,-19,8,3
TW,Taiwan,,,,,13/05/20,-11,4,1,-15,9,2
TW,Taiwan,,,,,14/05/20,-10,0,-9,-18,7,-2
TW,Taiwan,,,,,15/05/20,-5,6,0,-11,2,1
TW,Taiwan,,,,,16/05/20,-12,1,-14,-25,1,4
TW,Taiwan,,,,,17/05/20,-3,7,13,-21,-5,3
TW,Taiwan,,,,,18/05/20,-17,-3,-21,-20,3,4
TW,Taiwan,,,,,19/05/20,-23,-7,-34,-23,6,5
TW,Taiwan,,,,,20/05/20,-14,2,-17,-18,8,3
TW,Taiwan,,,,,21/05/20,-24,-12,-38,-23,5,1
TW,Taiwan,,,,,22/05/20,-28,-11,-47,-21,-1,7
TW,Taiwan,,,,,23/05/20,-13,5,-36,-28,-1,6
TW,Taiwan,,,,,24/05/20,0,10,19,-17,-5,2
TW,Taiwan,,,,,25/05/20,-7,9,-6,-16,4,3
TW,Taiwan,,,,,26/05/20,-14,1,-15,-19,8,3
TW,Taiwan,,,,,27/05/20,-20,-5,-26,-19,6,4
TW,Taiwan,,,,,28/05/20,-20,-9,-38,-22,4,1
TW,Taiwan,,,,,29/05/20,-9,3,-17,-11,3,3
TW,Taiwan,,,,,30/05/20,-4,9,2,-17,2,2
TW,Taiwan,,,,,31/05/20,-2,8,19,-15,-6,1
TW,Taiwan,,,,,01/06/20,-10,6,-10,-17,5,2
TW,Taiwan,,,,,02/06/20,-10,6,-6,-17,9,2
TW,Taiwan,,,,,03/06/20,-10,5,0,-14,8,2
TW,Taiwan,,,,,04/06/20,-9,3,-9,-16,7,-1
TW,Taiwan,,,,,05/06/20,-3,13,-2,-8,3,1
TW,Taiwan,,,,,06/06/20,-5,9,-4,-16,1,2
TW,Taiwan,,,,,07/06/20,-10,2,-11,-19,-9,3
TW,Taiwan,,,,,08/06/20,-16,0,-24,-18,3,4
TW,Taiwan,,,,,09/06/20,-12,5,-11,-16,8,2
TW,Taiwan,,,,,10/06/20,-8,8,0,-13,8,1
TW,Taiwan,,,,,11/06/20,-7,4,-10,-15,6,-2
TW,Taiwan,,,,,12/06/20,-3,7,-3,-9,2,1
TW,Taiwan,,,,,13/06/20,-3,8,2,-13,2,1
TW,Taiwan,,,,,14/06/20,-6,4,5,-15,-8,2
TW,Taiwan,,,,,15/06/20,-5,8,-4,-14,3,2
TW,Taiwan,,,,,16/06/20,-7,7,-1,-14,7,2
TW,Taiwan,,,,,17/06/20,-9,5,2,-13,6,1
TW,Taiwan,,,,,18/06/20,-7,3,-9,-16,5,-2
TW,Taiwan,,,,,19/06/20,-6,6,-5,-14,2,2
TW,Taiwan,,,,,20/06/20,-8,7,-15,-13,67,-4
TW,Taiwan,,,,,21/06/20,-1,10,16,-15,-5,2
TW,Taiwan,,,,,22/06/20,-5,8,-3,-14,1,2
TW,Taiwan,,,,,23/06/20,-5,8,-2,-12,4,2
TW,Taiwan,,,,,24/06/20,1,13,2,2,3,-1
TW,Taiwan,,,,,25/06/20,7,15,34,-12,-60,8
TW,Taiwan,,,,,26/06/20,8,11,65,-14,-57,12
TW,Taiwan,,,,,27/06/20,-5,3,22,-12,-17,1
TW,Taiwan,,,,,28/06/20,-6,3,10,-13,-11,1
TW,Taiwan,,,,,29/06/20,-6,7,-4,-13,-1,2
TW,Taiwan,,,,,30/06/20,-7,7,-6,-14,3,2
TW,Taiwan,,,,,01/07/20,-13,3,-11,-15,2,2
TW,Taiwan,,,,,02/07/20,-14,-3,-25,-18,0,0
TW,Taiwan,,,,,03/07/20,-3,10,-5,-11,-3,2
TW,Taiwan,,,,,04/07/20,-3,11,-2,-15,0,1
TW,Taiwan,,,,,05/07/20,-1,12,13,-15,-8,2
TW,Taiwan,,,,,06/07/20,-4,15,-1,-13,-3,2
TW,Taiwan,,,,,07/07/20,-6,13,2,-13,0,2
